waktu mulai => start 2022-05-22 01:01:15
id user => 609; cust id => 0017710401; skip
id user => 610; cust id => 0054982636; skip
id user => 612; cust id => 0003286341; skip
id user => 613; cust id => 0000964320; skip
id user => 614; cust id => 0050900778; skip
id user => 615; cust id => 0023748122; skip
id user => 616; cust id => 0054983783; skip
id user => 618; cust id => 0044114759; skip
id user => 619; cust id => 0000019323; skip
id user => 620; cust id => 0004460937; skip
id user => 621; cust id => 0004460937; skip
id user => 622; cust id => 0029401759; skip
id user => 623; cust id => 0003365749; skip
id user => 624; cust id => 0054983528; skip
id user => 625; cust id => 0054982546; skip
id user => 626; cust id => 0054981031; skip
id user => 627; cust id => 0054980985; skip
id user => 628; cust id => 0000828624; skip
id user => 629; cust id => 0054984133; skip
id user => 630; cust id => 0008939795; skip
id user => 631; cust id => 0030015622; skip
id user => 632; cust id => 0054982338; skip
id user => 633; cust id => 0001205715; skip
id user => 634; cust id => 0027572031; skip
id user => 635; cust id => 0053270799; skip
id user => 636; cust id => 0054982034; skip
id user => 637; cust id => 0007218829; skip
id user => 638; cust id => 0030522775; skip
id user => 639; cust id => 0041290743; skip
id user => 640; cust id => 0000514224; skip
id user => 641; cust id => 0032226730; skip
id user => 643; cust id => 0054983746; skip
id user => 644; cust id => 0003532546; skip
id user => 645; cust id => 0001437557; skip
id user => 646; cust id => 0029325271; skip
id user => 647; cust id => 0001846146; skip
id user => 648; cust id => 0006272421; skip
id user => 649; cust id => 0010158269; skip
id user => 650; cust id => 0054296744; skip
id user => 651; cust id => 0000019323; skip
id user => 652; cust id => 0010826279; skip
id user => 653; cust id => 0043018852; skip
id user => 654; cust id => 0054984611; skip
id user => 655; cust id => 0009676248; skip
id user => 656; cust id => 0001041524; skip
id user => 659; cust id => 0054983531; skip
id user => 660; cust id => 0039574751; skip
id user => 661; cust id => 0051580777; skip
id user => 662; cust id => 0011684289; skip
id user => 663; cust id => 0054627088; skip
id user => 664; cust id => 0054985053; skip
id user => 665; cust id => 0054984128; skip
id user => 666; cust id => 0054984445; skip
id user => 667; cust id => 0054985130; skip
id user => 668; cust id => 0049816739; skip
id user => 669; cust id => 0030354104; skip
id user => 671; cust id => 0002727329; skip
